avgsen;black;born60;durat;hispan;inc86;inc86sq;narr86;nfarr86;nparr86;pcnv;pcnvsq;ptime86sq;ptime86;tottime
0;0;0;9;0;0;0;0;0;0;0.2;0.04;0;0;0
0;1;0;0;0;50.4;2540.16;0;0;0;0;0;0;0;0
5.5;1;1;1;0;37.6;1413.76;2;2;2;0.54;0.2916;0;0;11
0;0;1;7;0;0.5;0.25;1;0;1;0.5;0.25;0;0;0
0;1;1;3;0;0;0;0;0;0;0.75;0.5625;0;0;0
0;1;0;6;0;0;0;2;2;1;0.09;0.0081;0;0;0
0;1;1;0;0;263.8;69590.43;0;0;0;0.17;0.0289;0;0;0
0;1;1;0;0;41;1681;1;1;0;0.2;0.04;0;0;0
0;0;1;0;0;7.6;57.76;0;0;0;0.43;0.1849;0;0;0
0;0;1;0;0;108.3;11728.89;0;0;0;0.25;0.0625;0;0;0
20.3;0;1;0;0;82.5;6806.25;0;0;0;0;0;0;0;20.3
0;1;1;19;0;28.4;806.56;2;1;0;0.33;0.1089;0;0;0
9.5;1;1;0;0;80.3;6448.09;2;1;1;0.45;0.2025;0;0;9.5
0;0;0;0;1;138.9;19293.21;1;0;0;0.29;0.0841;0;0;0
0;0;0;0;1;0;0;0;0;0;0.4;0.16;144;12;0
0;1;0;6;0;0;0;0;0;0;0.67;0.4489;0;0;0
0;0;1;0;0;90.7;8.226.489;0;0;0;0;0;0;0;0
0;0;0;0;0;8.6;7.396.001;2;1;1;0;0;0;0;0
0;0;0;0;1;22.4;501.76;5;3;4;0;0;0;0;0
0;0;0;0;0;53;2809;1;1;1;0.38;0.1444;0;0;0
0;0;0;2;1;0.7;0.49;5;2;2;0.27;0.0729;0;0;0
0;1;0;9;0;0;0;0;0;0;0.4;0.16;0;0;0
0;0;0;0;1;24.8;615.04;2;2;1;0.5;0.25;0;0;0
0;0;0;19;0;0;0;1;1;1;0.6;0.36;0;0;0
0;0;1;0;0;131.2;17213.44;0;0;0;1;1;0;0;0
0;0;0;0;0;144.6;20909.16;0;0;0;0;0;0;0;0
0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
0;1;1;0;0;6.2;38.44;1;1;0;0;0;0;0;0
18.4;0;0;10.9;1;5.6;31.36;0;0;0;0.57;0.3249;4;2;36.8
0;0;0;17;0;3.4;11.56;0;0;0;1;1;0;0;0
0;0;0;6;0;37.5;1406.25;0;0;0;0.5;0.25;0;0;0
0;0;0;10;0;0;0;0;0;0;0.5;0.25;0;0;0
18.4;0;0;2;0;0;0;0;0;0;0.33;0.1089;0;0;18.4
0;0;1;3;1;0;0;0;0;0;0.33;0.1089;0;0;0
0;0;1;0;0;89.9;8082.01;0;0;0;0.5;0.25;0;0;0
11;0;1;7;1;0;0;0;0;0;0.5;0.25;0;0;11
0;0;1;0;1;21.5;462.25;0;0;0;0.2;0.04;0;0;0
0;0;0;0;1;164.9;27192.01;0;0;0;0;0;0;0;0
8.9;0;1;1.9;0;0;0;1;1;1;0.63;0.3969;49;7;8.9
0;1;0;11;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;9.7;94.09;1;1;1;0;0;4;2;0
21.7;0;1;0;1;18.9;357.21;2;1;0;0.29;0.0841;0;0;21.7
24.6;0;0;12.9;0;9.6;92.16;0;0;0;0.25;0.0625;0;0;49.2
0;0;1;17;0;0.7;0.49;0;0;0;1;1;0;0;0
0;0;1;1;0;29.3;8.584.899;2;2;0;0;0;0;0;0
13.4;1;1;0;0;1;1;2;2;0;0.14;0.0196;0;0;13.4
18.4;0;0;3;0;21.3;453.69;0;0;0;0;0;0;0;18.4
0;0;0;0;1;33.4;1115.56;0;0;0;0.5;0.25;0;0;0
0;0;1;0;0;117.8;13876.84;0;0;0;0;0;0;0;0
0;0;1;0;0;29.1;846.81;0;0;0;0.33;0.1089;0;0;0
0;0;1;0;0;240.8;57984.64;0;0;0;1;1;0;0;0
0;0;1;0;0;140.6;19768.36;0;0;0;0;0;0;0;0
0;0;1;0;0;148.3;21992.89;0;0;0;1;1;0;0;0
0;0;1;0;0;14.7;216.09;0;0;0;0.75;0.5625;0;0;0
7.8;0;1;0;0;10.5;110.25;0;0;0;0.83;0.6889;0;0;31.2
0;0;0;7;0;7.9;62.41;0;0;0;0;0;0;0;0
0;0;1;23;0;0;0;1;0;0;0.31;0.0961;0;0;0
0;0;1;0;1;6.2;38.44;2;1;0;0.5;0.25;0;0;0
0;0;1;2;1;0;0;1;0;0;0.5;0.25;0;0;0
0;1;0;3;0;0;0;0;0;0;0.5;0.25;0;0;0
0;0;0;1;0;2.9;8.410.001;1;1;1;1;1;0;0;0
18.5;1;0;1;0;0;0;0;0;0;0.25;0.0625;121;11;18.5
0;0;1;0;0;2.9;8.410.001;0;0;0;0.67;0.4489;0;0;0
0;0;1;0;0;4.1;16.81;0;0;0;0.67;0.4489;0;0;0
11.9;0;0;1;0;0;0;3;3;0;0.33;0.1089;0;0;11.9
10.9;0;1;4;1;0;0;0;0;0;0.17;0.0289;81;9;10.9
0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
0;1;0;20;0;0;0;1;1;0;0.33;0.1089;0;0;0
0;0;1;4;0;0;0;0;0;0;0.5;0.25;0;0;0
0;0;1;0;0;0.2;0.04;0;0;0;0.33;0.1089;0;0;0
0;0;0;0;0;61.3;3757.69;0;0;0;0;0;0;0;0
0;0;1;0;1;276.2;76286.45;0;0;0;0;0;0;0;0
9.1;1;0;0;0;0;0;0;0;0;0.25;0.0625;144;12;9.1
0;0;0;0;0;52.4;2745.76;0;0;0;0.5;0.25;0;0;0
6.7;0;1;22;0;0;0;2;2;1;0.42;0.1764;9;3;6.7
14.4;0;1;0;0;34.5;1190.25;0;0;0;0.57;0.3249;0;0;14.4
0;0;1;0;0;80.9;6544.81;0;0;0;1;1;0;0;0
10.6;0;0;0;0;0;0;0;0;0;0.4;0.16;144;12;21.2
0;0;1;0;1;121.1;14665.21;0;0;0;0.5;0.25;0;0;0
0;0;1;0;0;182.6;33342.76;0;0;0;1;1;0;0;0
0;0;1;6;1;0;0;0;0;0;1;1;0;0;0
0;0;1;1;0;0;0;0;0;0;0.33;0.1089;0;0;0
0;0;1;0;0;44.6;1989.16;0;0;0;0.5;0.25;0;0;0
0;0;1;5;1;26.1;681.21;2;0;0;0.83;0.6889;0;0;0
0;0;1;1;0;0.8;0.64;0;0;0;0.25;0.0625;0;0;0
0;0;1;0;0;0;0;0;0;0;0.5;0.25;144;12;0
0;0;0;0;0;185.5;34410.25;0;0;0;0;0;0;0;0
0;0;1;6;0;0;0;0;0;0;0.8;0.64;0;0;0
0;0;1;0;1;97.7;9.545.289;0;0;0;0.67;0.4489;0;0;0
21.8;0;0;0;1;25.8;665.64;4;2;2;1;1;0;0;43.6
0;1;0;5;0;1.8;3.24;1;0;0;0.5;0.25;0;0;0
0;0;1;0;0;166.5;27722.25;0;0;0;0;0;0;0;0
0;1;1;1;0;0;0;2;2;2;0;0;0;0;0
0;1;0;1;0;71.1;5055.21;1;1;1;1;1;0;0;0
0;1;1;0;0;9.2;84.64;0;0;0;0.33;0.1089;0;0;0
11.4;0;1;0;0;210.6;44352.36;0;0;0;0.67;0.4489;0;0;11.4
0;0;0;0;1;282.4;79749.76;1;1;0;0;0;0;0;0
0;0;1;3;0;0;0;0;0;0;0.67;0.4489;0;0;0
0;1;0;0;0;25.7;6.604.901;1;0;0;0;0;0;0;0
0;0;1;0;0;34.9;1218.01;2;2;2;0.4;0.16;0;0;0
0;0;1;0;0;58.7;3445.69;0;0;0;0.33;0.1089;0;0;0
0;1;1;0;0;108.3;11728.89;0;0;0;0.5;0.25;0;0;0
0;0;1;9;0;0;0;0;0;0;0.5;0.25;0;0;0
0;0;1;4;0;15.7;246.49;0;0;0;0;0;0;0;0
0;1;1;2;0;0;0;1;1;0;0.29;0.0841;0;0;0
0;0;0;0;1;37.2;1383.84;3;2;0;0.5;0.25;0;0;0
0;0;0;0;0;84.8;7.191.041;0;0;0;0.22;0.0484;0;0;0
12.7;0;0;0;1;0;0;0;0;0;0.13;0.0169;144;12;38.1
0;0;1;1;1;9.5;90.25;0;0;0;0.33;0.1089;0;0;0
0;0;1;0;1;54.8;3003.04;0;0;0;0.4;0.16;0;0;0
0;0;1;22;0;2;4;0;0;0;0.2;0.04;0;0;0
14.2;0;0;0;1;76.3;5821.69;0;0;0;0.33;0.1089;0;0;14.2
0;0;1;4;0;0;0;1;0;1;1;1;0;0;0
0;0;1;0;0;103.7;10753.69;1;1;0;0.5;0.25;0;0;0
0;0;1;0;0;148.2;21963.24;0;0;0;1;1;0;0;0
0;0;1;3;0;0;0;0;0;0;1;1;0;0;0
0;0;1;0;0;183.4;33635.56;0;0;0;0.5;0.25;0;0;0
10.7;0;1;0;1;117.6;13829.76;0;0;0;0.67;0.4489;0;0;21.4
0;0;0;0;1;24.8;615.04;1;1;1;0.71;0.5041;0;0;0
0;0;1;1;0;0;0;0;0;0;1;1;0;0;0
0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
0;0;1;15;1;0.8;0.64;0;0;0;0.33;0.1089;0;0;0
0;0;1;0;1;108.8;11837.44;0;0;0;0.4;0.16;0;0;0
0;0;1;0;0;220.3;48532.09;0;0;0;1;1;0;0;0
0;0;1;0;0;56.3;3169.69;1;0;0;0;0;0;0;0
0;0;1;0;0;176.4;31116.96;0;0;0;1;1;0;0;0
0;0;1;0;0;28.3;800.89;0;0;0;0;0;0;0;0
0;0;1;1;1;51.8;2683.24;1;0;0;0.8;0.64;0;0;0
0;0;1;0;0;178.2;31755.24;0;0;0;1;1;0;0;0
0;1;1;0;0;176.1;31011.21;1;0;0;0;0;0;0;0
0;0;1;0;0;142.4;20277.76;1;1;1;1;1;0;0;0
0;0;1;8;0;23.8;5.664.399;0;0;0;1;1;0;0;0
0;1;1;0;0;176.5;31152.25;3;0;0;0.33;0.1089;0;0;0
0;0;1;0;0;75.2;5655.04;0;0;0;0;0;0;0;0
0;0;1;3;1;0;0;0;0;0;0.5;0.25;0;0;0
0;0;0;0;1;0;0;0;0;0;0.6;0.36;144;12;0
0;0;0;0;1;145.4;21141.16;2;1;0;0.33;0.1089;0;0;0
0;1;1;9;0;0;0;1;1;1;0;0;0;0;0
0;1;1;19;0;0;0;1;1;0;0.33;0.1089;0;0;0
0;0;1;0;0;237.7;56501.29;0;0;0;1;1;0;0;0
0;0;1;0;0;195.7;38298.49;0;0;0;0;0;0;0;0
0;0;1;0;0;53.8;2894.44;1;1;0;0;0;0;0;0
0;0;0;2;0;33.2;1102.24;1;0;0;0.4;0.16;0;0;0
19.3;1;0;9;0;10.1;102.01;2;1;0;0;0;0;0;19.3
10;0;1;0;0;262.7;69011.3;0;0;0;0.44;0.1936;0;0;20
0;0;1;0;0;81.3;6609.69;0;0;0;0;0;0;0;0
22;1;1;5.5;0;5.7;32.49;0;0;0;0.43;0.1849;0;0;22
0;0;1;0;0;25.9;670.81;0;0;0;1;1;0;0;0
9.7;1;1;0;0;21;441;1;0;0;0.33;0.1089;0;0;19.4
0;0;1;1;0;16.4;268.96;0;0;0;0;0;0;0;0
0;1;1;0;0;35.7;1274.49;1;0;0;0.44;0.1936;0;0;0
0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;263.6;69484.96;0;0;0;1;1;0;0;0
0;0;1;0;1;133.8;17902.44;0;0;0;0.2;0.04;0;0;0
0;0;1;1;1;0;0;0;0;0;1;1;0;0;0
0;0;1;2;1;0;0;0;0;0;0.17;0.0289;0;0;0
6.1;0;1;0;1;6.1;37.21;1;1;0;0.33;0.1089;0;0;12.2
0;0;1;0;1;20.7;428.49;2;2;0;0;0;0;0;0
0;0;1;1;0;10;100;1;1;0;0.33;0.1089;0;0;0
0;0;1;0;0;80;6400;2;1;0;1;1;0;0;0
0;0;1;22;0;21.9;479.61;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0.43;0.1849;144;12;0
0;0;1;13;0;0;0;0;0;0;0.62;0.3844;0;0;0
0;0;1;0;0;23.3;542.89;3;1;1;1;1;0;0;0
0;0;1;0;0;64.1;4108.81;0;0;0;1;1;0;0;0
0;0;1;0;1;21.6;466.56;0;0;0;0.5;0.25;0;0;0
14.8;0;0;0;1;32.6;1062.76;0;0;0;0.4;0.16;0;0;29.6
0;0;1;0;1;51.2;2621.44;0;0;0;0.5;0.25;0;0;0
0;0;1;0;1;123.1;15153.61;0;0;0;0.57;0.3249;0;0;0
0;0;1;4;0;0;0;0;0;0;0.33;0.1089;0;0;0
0;1;0;9;0;0;0;1;1;1;0;0;0;0;0
0;0;1;3;0;29.5;870.25;0;0;0;0.33;0.1089;0;0;0
0;1;1;3;0;0;0;0;0;0;1;1;0;0;0
0;0;1;3;0;45.8;2097.64;0;0;0;0;0;0;0;0
0;0;1;1;0;0;0;0;0;0;1;1;0;0;0
0;0;1;1;0;1;1;0;0;0;1;1;0;0;0
0;0;1;22;0;0;0;0;0;0;0.57;0.3249;0;0;0
0;0;1;5;0;1.9;3.61;0;0;0;0.33;0.1089;0;0;0
0;0;1;0;0;230.1;52946.01;0;0;0;0.5;0.25;0;0;0
0;1;1;0;0;31.4;985.96;1;1;0;0;0;0;0;0
13.7;0;1;11;1;0;0;1;0;0;0.22;0.0484;0;0;13.7
0;0;1;0;0;0;0;0;0;0;0.6;0.36;144;12;0
0;0;0;0;1;11.6;134.56;2;1;2;0.5;0.25;0;0;0
15;0;0;11.4;0;0;0;0;0;0;0.8;0.64;49;7;30
0;0;1;0;0;28.3;800.89;1;0;0;0;0;0;0;0
0;0;1;5;0;3.8;14.44;3;3;2;0.5;0.25;0;0;0
0;0;1;0;0;285.2;81339.05;0;0;0;0.29;0.0841;0;0;0
0;0;1;0;0;18;324;0;0;0;0.5;0.25;0;0;0
12.4;0;1;5;1;0.2;0.04;1;0;0;0.44;0.1936;4;2;12.4
0;0;1;0;0;155.6;24211.36;0;0;0;0;0;0;0;0
0;0;1;0;1;114;12996;0;0;0;0.5;0.25;0;0;0
0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;345;119025;0;0;0;0.5;0.25;0;0;0
0;0;1;5;1;0;0;1;1;1;0.38;0.1444;0;0;0
0;0;1;0;1;209;43681;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0.5;0.25;144;12;0
0;0;0;9;0;0.2;0.04;0;0;0;0.3;0.09;0;0;0
0;0;0;2;0;0;0;0;0;0;0.5;0.25;0;0;0
0;1;0;12;0;0;0;0;0;0;0.4;0.16;0;0;0
0;0;1;0;0;55.9;3124.81;0;0;0;0.67;0.4489;0;0;0
8.6;0;1;0;1;14;196;0;0;0;0.33;0.1089;0;0;8.6
0;0;1;0;1;295.9;87556.8;0;0;0;1;1;0;0;0
0;0;1;0;0;243.1;59097.61;0;0;0;1;1;0;0;0
0;0;1;0;0;20.1;404.01;0;0;0;1;1;0;0;0
0;1;1;2;0;45.9;2106.81;0;0;0;0;0;0;0;0
0;0;1;0;0;187.8;35268.84;1;0;0;0.33;0.1089;0;0;0
0;1;1;2;0;0;0;0;0;0;0.08;0.0064;0;0;0
9.6;1;0;0;0;1.3;1.69;0;0;0;0.38;0.1444;36;6;9.6
0;0;0;0;1;90.5;8190.25;0;0;0;0.67;0.4489;0;0;0
0;0;1;0;0;166.2;27622.44;0;0;0;1;1;0;0;0
0;0;1;0;1;28.8;8.294.399;1;1;0;0.6;0.36;0;0;0
0;0;1;4;0;16.2;262.44;1;1;0;1;1;0;0;0
0;0;1;0;0;142.3;20249.29;0;0;0;0;0;0;0;0
0;0;1;0;0;3.5;12.25;0;0;0;0.5;0.25;0;0;0
0;0;1;12;1;1;1;0;0;0;0.4;0.16;0;0;0
0;0;1;0;0;94.5;8930.25;0;0;0;0.75;0.5625;0;0;0
0;0;1;0;0;188;35344;0;0;0;1;1;0;0;0
0;0;1;14;0;6.8;46.24;0;0;0;0;0;0;0;0
0;0;1;0;1;36;1296;0;0;0;0.5;0.25;0;0;0
0;0;1;1;0;0;0;0;0;0;0.57;0.3249;0;0;0
0;0;1;0;0;230.8;53268.64;0;0;0;0.25;0.0625;0;0;0
0;0;1;0;0;180.3;32508.09;0;0;0;0.5;0.25;0;0;0
0;0;1;0;0;68.9;4747.21;0;0;0;1;1;0;0;0
0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0.29;0.0841;121;11;0
0;0;1;0;0;21.3;453.69;0;0;0;0.5;0.25;0;0;0
0;0;1;0;0;128.9;16615.21;0;0;0;1;1;0;0;0
0;0;0;0;1;28.3;800.89;0;0;0;0.17;0.0289;0;0;0
0;0;0;0;1;81;6561;0;0;0;0;0;0;0;0
0;0;1;8;1;0;0;4;0;0;0.36;0.1296;9;3;0
0;0;1;2;0;111.2;12365.44;0;0;0;0.5;0.25;0;0;0
0;0;1;3;1;40.5;1640.25;0;0;0;0.5;0.25;0;0;0
0;0;1;0;0;56.7;3214.89;0;0;0;0.29;0.0841;0;0;0
0;0;1;0;1;20;400;2;2;0;0.5;0.25;0;0;0
0;0;1;0;0;141.3;19965.69;0;0;0;0.33;0.1089;0;0;0
0;0;1;0;1;78.8;6209.44;0;0;0;1;1;0;0;0
0;1;1;1;0;5.3;28.09;1;1;1;0.67;0.4489;0;0;0
0;0;0;0;0;25.6;655.36;0;0;0;0.5;0.25;0;0;0
0;0;1;0;0;229.2;52532.64;0;0;0;0;0;0;0;0
0;0;1;0;0;37.7;1421.29;0;0;0;1;1;0;0;0
0;0;1;0;0;224.7;50490.09;0;0;0;0.67;0.4489;0;0;0
0;0;1;0;0;14.7;216.09;0;0;0;0.5;0.25;0;0;0
0;0;1;0;0;94.8;8.987.041;0;0;0;0;0;0;0;0
0;0;1;2;0;28.6;817.96;0;0;0;0.36;0.1296;0;0;0
0;0;1;0;0;27.9;778.41;0;0;0;0.11;0.0121;0;0;0
15.7;0;1;0;0;70;4900;0;0;0;0.5;0.25;0;0;15.7
0;0;1;0;0;98.9;9781.21;0;0;0;0.25;0.0625;0;0;0
11.7;0;0;0;0;64.3;4134.49;0;0;0;0.33;0.1089;4;2;11.7
0;0;1;1;0;54.8;3003.04;0;0;0;0.33;0.1089;0;0;0
0;0;1;0;0;219.2;48048.64;0;0;0;0;0;0;0;0
0;0;1;2;1;0;0;0;0;0;0.42;0.1764;0;0;0
0;0;1;0;1;89.8;8.064.041;0;0;0;0.5;0.25;0;0;0
0;1;1;1;0;1.3;1.69;0;0;0;0;0;0;0;0
0;1;0;0;0;44.4;1971.36;0;0;0;0;0;0;0;0
0;1;0;2;0;51.4;2641.96;2;0;0;0.25;0.0625;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;144;12;0
0;0;1;1;0;51.7;2672.89;1;0;0;0.5;0.25;0;0;0
0;0;1;2;0;0;0;0;0;0;0.33;0.1089;0;0;0
0;0;1;0;1;135.7;18414.49;0;0;0;0.6;0.36;0;0;0
0;0;1;1;0;0;0;2;1;0;0;0;0;0;0
0;0;1;0;0;35.4;1253.16;0;0;0;0.33;0.1089;0;0;0
0;1;1;0;0;8.6;7.396.001;1;1;0;1;1;0;0;0
0;0;1;8;0;0;0;0;0;0;1;1;0;0;0
0;0;1;0;0;69.8;4.872.041;0;0;0;0;0;0;0;0
0;0;0;0;0;77.6;6021.76;1;1;1;0.2;0.04;0;0;0
0;1;1;0;0;2.4;5.76;1;1;0;0;0;0;0;0
0;0;1;0;0;159.5;25440.25;0;0;0;1;1;0;0;0
7.1;1;1;0;0;0;0;0;0;0;0.54;0.2916;144;12;21.3
0;0;1;0;0;4;16;0;0;0;0.33;0.1089;0;0;0
0;0;1;0;0;159.9;25568.01;0;0;0;0;0;0;0;0
0;0;1;0;1;98.3;9.662.891;0;0;0;0.5;0.25;0;0;0
0;0;1;0;1;54.9;3014.01;2;2;0;0;0;0;0;0
0;0;1;0;1;166.4;27688.96;0;0;0;1;1;0;0;0
0;1;1;0;0;74.9;5610.01;1;0;1;1;1;0;0;0
16.1;0;0;2;0;0;0;2;0;0;0.75;0.5625;1;1;16.1
0;0;1;0;1;114.1;13018.81;0;0;0;0;0;0;0;0
0;1;1;2;0;1.8;3.24;0;0;0;1;1;0;0;0
0;1;1;1;0;1.5;2.25;2;1;0;0.5;0.25;0;0;0
0;1;1;0;0;120.2;14448.04;0;0;0;0.33;0.1089;0;0;0
0;1;1;0;0;32;1024;0;0;0;0.6;0.36;0;0;0
0;0;1;0;0;61;3721;0;0;0;0;0;0;0;0
0;0;0;0;1;81.3;6609.69;0;0;0;0.5;0.25;0;0;0
0;0;1;0;0;16.9;285.61;1;1;0;0;0;0;0;0
0;0;1;0;1;55.7;3102.49;0;0;0;0.56;0.3136;0;0;0
0;1;1;0;0;81.3;6609.69;0;0;0;0;0;0;0;0
0;1;1;5;0;0;0;2;2;0;0.57;0.3249;16;4;0
0;0;1;0;1;78.5;6162.25;0;0;0;0.33;0.1089;0;0;0
11.8;0;1;7;1;45.6;2079.36;1;0;0;0.6;0.36;0;0;11.8
0;0;1;4;0;15.6;243.36;0;0;0;1;1;0;0;0
0;1;1;11;0;0;0;3;3;1;0.5;0.25;0;0;0
0;0;1;18;0;0;0;2;2;1;0.75;0.5625;0;0;0
0;0;1;0;0;0;0;0;0;0;0.67;0.4489;144;12;0
0;1;1;0;0;0;0;0;0;0;0.25;0.0625;144;12;0
0;1;1;2;0;0;0;3;3;3;1;1;0;0;0
0;1;1;0;0;48.9;2391.21;0;0;0;1;1;0;0;0
0;0;1;0;0;339.7;115396.1;0;0;0;0;0;0;0;0
0;0;1;0;0;129.7;16822.09;0;0;0;1;1;0;0;0
17.7;1;1;5;0;0;0;0;0;0;0.5;0.25;4;2;35.4
0;0;1;0;0;188.6;35569.96;0;0;0;0.5;0.25;0;0;0
0;0;1;0;0;123.1;15153.61;0;0;0;1;1;0;0;0
0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;227.6;51801.76;0;0;0;1;1;0;0;0
