ID	AGE	CITY	EDUC	EXPER	EXPERSQ	FAMINC	FATHEDUC	HOURS	HUSAGE	HUSEDUC	HUSHRS	INLF	HUSWAGE	WAGE	UNEM	NWIFEINC	MTR	MOTHEDUC	LWAGE	KIDSLT6	KIDSGE6	REPWAGE
39	51	0	14	24	576	25561	7	1952	58	12	1952	1	7.3064	5.6183	14	14.59408	0.6215	7	1.726029	0	0	5.6
40	30	1	17	11	121	36550	17	1302	30	17	1560	1	11.218	14.631	5	17.50044	0.58	14	2.683142	0	0	9.53
41	30	0	12	1	1	15810	12	112	33	16	4030	1	3.8462	2.6786	3	15.51	0.7215	12	0.9852943	1	2	0
42	57	1	12	14	196	25500	9	893	58	12	2570	1	5.8366	3.9194	7.5	21.99998	0.6215	9	1.365939	0	0	3.5
43	31	1	16	6	36	24000	16	583	34	16	1530	1	13.725	2.5729	9.5	22.5	0.6615	14	0.9450337	1	2	9.98
44	48	0	12	10	100	22172	3	480	48	8	3149	1	6.3493	4.5375	5	19.994	0.6615	3	1.512376	0	2	4.65
45	30	0	12	6	36	17930	7	1900	32	12	2690	1	5.2528	2	5	14.13	0.7215	12	0.6931472	0	3	2.23
46	34	0	12	4	16	7000	7	576	33	12	3096	1	1.3075	3.4722	3	5.000013	0.7815	12	1.244788	0	2	3.84
47	48	1	16	10	100	25300	16	2056	53	16	2552	1	2.7998	2.0161	5	21.1549	0.7215	14	0.7011649	0	2	0
48	45	0	12	22	484	16212	10	1984	47	11	2040	1	2.6961	4.5716	11	7.141946	0.7215	10	1.519863	0	0	4.82
49	51	0	12	16	256	22650	7	2640	50	13	2180	1	7.5688	2.2727	3	16.65007	0.6615	7	0.8209686	0	0	0
50	30	0	12	6	36	6985	7	240	37	12	1864	1	3.4077	2.6375	14	6.352	0.7815	12	0.9698315	0	2	0
51	46	1	12	12	144	30000	7	1173	46	12	2068	1	6.5401	2.2899	11	27.31395	0.6915	7	0.8285082	0	1	2.5
52	58	1	12	32	1024	18500	3	3640	58	12	2010	1	7.2139	1.0989	9.5	14.5	0.6915	7	0.0943096	0	0	0
53	37	0	12	15	225	16658	7	340	40	10	2152	1	6.2732	1.1765	5	16.25799	0.7515	12	0.1625439	0	8	0
54	52	1	8	17	289	10300	7	500	54	11	1496	1	5.8824	1.6	5	9.5	0.7515	7	0.4700036	0	0	0
55	52	0	10	34	1156	11000	3	1599	47	4	2100	1	3.8095	1.8762	7.5	7.999956	0.7515	7	0.6292484	0	0	2.8
56	31	1	16	9	81	19900	12	1830	35	14	1960	1	6.3776	4.0437	7.5	12.50003	0.6915	12	1.39716	0	0	4.2
57	55	1	14	37	1369	32500	7	1920	55	15	1985	1	6.0453	9.6354	14	14.00003	0.64	7	2.265444	0	0	8.75
58	34	1	17	10	100	37300	17	2052	33	17	2020	1	8.8119	8.0409	7.5	20.80007	0.58	17	2.084541	0	0	8.25
59	55	1	14	35	1225	30018	7	2312	56	16	2178	1	8.8765	4.599	11	19.38511	0.5815	17	1.525839	0	0	5.58
60	39	1	12	6	36	12807	7	196	39	12	3684	1	3.342	2.1429	14	12.38699	0.7515	12	0.7621601	0	2	2.5
61	40	0	14	19	361	39500	3	2500	42	13	5010	1	3.1836	4.4	7.5	28.5	0.5515	14	1.481605	0	3	5.5
62	43	1	12	10	100	22050	12	1980	47	12	1880	1	6.9149	3.5354	9.5	15.04991	0.6915	12	1.262826	0	4	3.75
63	48	1	8	11	121	15500	7	1840	56	8	1904	1	5.5147	2.7174	14	10.49998	0.7215	7	0.9996756	0	0	4.8
64	47	1	12	15	225	13810	7	320	47	12	2083	1	5.2808	6.25	9.5	11.81	0.7215	7	1.832582	0	0	6.25
65	41	1	12	12	144	11950	7	419	44	12	2125	1	3.2	11.933	5	6.950073	0.7515	7	2.479308	0	4	6.3
66	36	0	8	12	144	19175	12	1880	37	12	1985	1	5.8791	3.5931	7.5	12.41997	0.6915	12	1.279015	0	0	3.75
67	46	0	17	14	196	17900	16	72	48	17	2640	1	6.25	6.9444	7.5	17.4	0.6915	12	1.937936	0	2	0
68	34	1	12	11	121	15850	7	120	51	8	2070	1	7.4879	2.9167	5	15.5	0.7215	12	1.070453	0	0	0
69	41	1	12	9	81	27017	7	1885	48	8	2107	1	6.9767	3.0769	5	21.21704	0.6915	7	1.123923	0	3	2.9
70	51	0	12	24	576	18900	7	240	54	10	2250	1	8	3.75	5	18	0.6915	12	1.321756	0	1	0
71	33	1	12	12	144	21800	12	1729	34	16	2880	1	4.1319	5.7259	7.5	11.89992	0.6915	12	1.745	0	0	4.76
72	52	1	12	13	169	33552	10	1850	53	12	1848	1	14.476	3.6757	7.5	26.75196	0.5515	10	1.301744	0	0	3.4
73	58	1	9	29	841	22650	9	2033	53	7	1927	1	5.7343	5.1648	7.5	12.14996	0.6615	7	1.641866	0	0	4.32
74	34	1	10	11	121	15200	0	608	38	9	1304	1	3.3742	8.2237	7.5	10.19999	0.7915	0	2.10702	2	4	3
75	31	1	12	13	169	13120	10	1153	35	12	3000	1	1.8333	4.3365	7.5	8.120015	0.7215	7	1.467068	0	1	4.52
76	48	1	12	19	361	21660	14	2208	52	12	1892	1	5.6025	4.9819	5	10.65996	0.6615	12	1.605811	0	1	5.31
77	32	0	12	2	4	18190	7	252	32	12	3644	1	4.2975	0.3571	3	18.10001	0.7215	7	-1.029739	0	2	0
78	49	1	17	24	576	9600	3	337	47	17	1430	1	3.9161	2.9674	14	8.599986	0.7515	3	1.087686	0	0	0
79	32	1	15	9	81	13755	12	90	31	14	2350	1	4.8787	1	7.5	13.665	0.7515	10	0	2	2	0
80	58	1	12	6	36	35350	12	1174	59	16	1948	1	9.2402	2.5554	7.5	32.34996	0.6615	7	0.9382087	0	0	4.87
81	50	1	6	22	484	12405	7	372	42	12	1804	1	6.6519	0.8602	7.5	12.08501	0.7215	12	-0.1505904	0	0	2.25
82	60	0	14	30	900	12180	17	30	51	12	2326	1	4.6217	1	9.5	12.15	0.7515	12	0	0	0	0
83	50	1	12	10	100	22962	3	1800	55	11	1739	1	9.9741	2.9261	7.5	17.69502	0.6615	7	1.073671	0	1	0
84	56	1	14	6	36	25700	7	282	57	17	1176	1	20.918	3.5461	9.5	24.7	0.6215	7	1.265848	0	0	2.5
85	51	0	9	29	841	3305	7	720	55	8	1100	1	1.94	1.6264	3	2.133992	0.7915	7	0.486369	0	0	2.2
86	54	1	17	29	841	32950	12	1440	58	17	1528	1	8.8351	8.3333	5	20.95005	0.5815	7	2.12026	0	1	6
87	59	1	13	36	1296	17000	7	2100	52	15	2250	1	4.6667	3.0952	5	10.50008	0.6915	7	1.129853	0	0	2.95
88	46	1	9	19	361	13250	7	1000	47	10	1927	1	5.1894	2.7	5	10.55	0.7515	7	0.9932518	0	2	2.35
89	46	1	15	8	64	50750	12	952	47	16	2414	1	18.724	5.2521	5	45.75	0.4415	7	1.658628	0	1	0
90	39	0	12	13	169	15632	10	1413	49	8	768	1	10.417	1.4154	14	13.63204	0.7715	10	0.3474122	1	3	2.2
91	44	1	12	16	256	28316	0	2100	43	14	1984	1	8.8458	4.7986	11	18.23894	0.6215	7	1.568324	0	2	4.85
92	33	1	12	11	121	17290	12	120	36	12	2246	1	7.569	1.6667	9.5	17.09	0.7215	12	0.5108456	2	0	2.37
93	33	1	12	15	225	33600	10	3000	30	17	3024	1	4.4507	1.1217	7.5	30.2349	0.6215	10	0.1148454	1	2	0
94	48	1	12	6	36	29200	7	1000	52	12	2921	1	9.3204	0.5	9	28.7	0.6215	12	-0.6931472	0	2	0
95	31	0	12	13	169	19870	7	336	37	17	2045	1	9.1687	0.7143	11	19.63	0.6915	7	-0.3364523	0	4	0
96	45	0	12	22	484	16225	7	1216	44	12	1928	1	6.4834	2.7961	11	12.82494	0.7215	7	1.028226	0	1	2.9
97	45	1	12	24	576	28600	3	988	44	10	1920	1	7.8125	4.8583	5	23.8	0.6915	7	1.580689	0	1	4.5
98	32	1	13	2	4	30800	12	2581	37	17	2280	1	11.404	1.7435	7.5	26.30003	0.5815	14	0.5558946	0	2	2.6
99	47	0	12	6	36	25700	7	2030	47	17	2300	1	5.087	2.4631	3	20.69991	0.6915	7	0.9014207	0	0	2.8
100	34	0	13	2	4	27000	12	413	35	13	2480	1	6.9758	2.4213	3	26	0.6215	12	0.8843046	0	2	3
101	37	1	12	2	4	12077	7	782	34	10	1135	1	5.2863	1.5345	9.5	10.87702	0.7715	12	0.4282046	0	1	2.3
102	36	0	12	14	196	29612	7	1388	39	12	1384	1	11.562	2.8818	11	25.61206	0.6615	7	1.058415	0	1	1.87
103	47	1	12	9	81	24479	10	1450	50	14	1848	1	8.6061	2.4069	9.5	20.98899	0.6915	7	0.8783396	1	2	3
104	48	1	16	11	121	79750	14	1720	46	17	2499	1	12.805	5.2326	7.5	70.74993	0.4415	14	1.654908	0	1	4.68
105	42	0	12	9	81	20050	7	800	43	12	2390	1	6.6946	3.75	11	17.05	0.6915	12	1.321756	0	2	2.5
106	33	1	13	6	36	21500	12	360	44	14	2400	1	8.3333	1.3889	11	21	0.6915	10	0.3285121	0	3	0
107	46	0	11	19	361	16120	7	2000	53	8	1920	1	4.1667	4	5	8.12	0.6915	7	1.386294	0	0	4.61
108	47	0	12	26	676	24686	7	1176	48	13	2301	1	5.4759	3.2313	9.5	20.88599	0.7215	7	1.172885	0	3	3.35
109	44	1	12	19	361	24669	10	2058	43	10	1944	1	5.144	3.4014	9.5	17.66892	0.6915	7	1.224187	0	1	3.8
110	36	1	12	3	9	26400	7	900	37	17	2100	1	11.667	1.3333	7.5	25.20003	0.6615	7	0.2876571	0	4	2.2
111	31	1	17	7	49	16245	12	215	32	16	1920	1	7.2917	9.3023	7.5	14.24501	0.7215	12	2.230262	2	0	9.98
112	55	1	14	28	784	23300	7	2000	55	14	2880	1	4.8611	4.5	9.5	14.3	0.6615	7	1.504077	0	0	4.37
113	45	1	16	13	169	27200	7	757	48	16	1932	1	12.164	4.6235	9.5	23.70001	0.6215	12	1.531152	0	1	4.5
114	47	1	17	9	81	51000	17	1264	48	17	3234	1	10.823	3.9557	9.5	46	0.4615	10	1.375158	0	0	0
115	46	1	12	15	225	55000	7	2064	47	12	2805	1	12.478	5.814	14	42.9999	0.4615	10	1.760269	0	3	6
116	49	1	11	20	400	15389	7	1280	52	9	2272	1	6.162	0.5	7.5	14.749	0.7215	7	-0.6931472	0	0	0
117	49	1	12	29	841	23150	7	1715	52	14	2227	1	7.1846	4.0816	9.5	16.15005	0.6615	7	1.406489	0	0	3.75
118	45	1	12	9	81	29774	10	2000	49	6	1720	1	7.093	6	14	17.774	0.6215	7	1.791759	0	2	4.95
119	38	1	17	1	1	91044	10	12	38	13	2300	1	17.826	3.6667	14	91	0.4415	12	1.299292	1	3	0
120	47	1	10	8	64	28200	12	1528	50	12	3410	1	6.393	3.8613	14	22.29993	0.5815	7	1.351004	0	0	2.95
121	54	1	13	19	361	36150	7	561	57	16	2304	1	11.719	2.7629	9.5	34.60001	0.5515	7	1.016281	0	3	2.53
122	41	0	11	23	529	15652	12	2058	42	12	1984	1	4.7883	2.931	7.5	9.620002	0.7215	12	1.075344	0	0	2.9
123	43	0	12	3	9	18900	7	1823	33	14	1890	1	4.2328	4.3884	11	10.89995	0.7515	14	1.478965	0	2	4.2
124	31	0	16	13	169	23600	10	1680	32	12	1970	1	7.1066	5.4167	7.5	14.49994	0.6615	12	1.689487	1	1	4.7
125	47	1	17	8	64	36200	7	1440	46	12	2400	1	8.3333	9.8611	7.5	22.00002	0.61	7	2.288598	0	0	7.1
126	35	0	12	17	289	18700	10	4950	37	12	2504	1	6.9888	0.1616	7.5	17.90008	0.6915	10	-1.822631	0	2	2.75
127	45	1	16	4	16	24125	7	1176	48	17	2398	1	9.5913	0.3826	11	23.67506	0.6615	7	-0.9607652	0	3	3.75
128	33	0	12	15	225	15800	7	1100	39	12	1960	1	6.0204	3.6364	7.5	11.79996	0.7215	7	1.290994	1	0	3.58
129	54	0	16	11	121	19742	7	1516	55	12	2550	1	2.9686	2.3747	3	16.14195	0.7215	12	0.8648711	0	1	2.4
130	35	0	8	7	49	22600	7	900	41	12	2500	1	7	4.6667	9.5	18.39997	0.6915	10	1.540452	0	4	3.95
131	31	0	12	0	0	17500	7	1080	37	10	2164	1	7.1627	1.8519	7.5	15.49995	0.7215	7	0.6162121	1	2	2.25
132	55	0	12	0	0	19820	7	480	60	12	2640	1	4.7364	5.2	7.5	17.324	0.6915	7	1.648659	0	0	0
133	34	1	12	10	100	20155	16	288	36	12	1936	1	8.781	3.2986	11	19.205	0.6915	12	1.193498	0	2	4.62
134	38	1	13	8	64	37300	12	1875	41	12	2136	1	9.8315	8.5333	7.5	21.30006	0.58	10	2.143976	0	1	8.5
135	45	1	11	2	4	24860	7	630	51	10	1955	1	6.6496	2.0635	7.5	23.56	0.7215	7	0.7244036	0	1	0
136	47	1	12	4	16	21450	3	234	48	10	1980	1	9.8485	2.5641	7.5	20.85	0.6615	12	0.9416075	0	1	2.5
137	39	1	12	6	36	29650	7	1600	42	11	2550	1	9.8039	2.1875	5	26.15	0.6215	7	0.7827594	0	2	0
138	36	1	14	18	324	23000	7	960	37	13	2058	1	8.2604	6.25	11	17	0.6615	7	1.832582	1	0	0
139	33	1	12	3	9	21120	7	120	32	14	2263	1	9.0676	3.3333	9	20.72	0.6915	7	1.203963	1	2	0
140	50	1	12	22	484	26000	12	2025	54	13	1763	1	8.5082	4.4444	5	17.00009	0.6215	7	1.491645	0	0	4.8
141	58	1	12	33	1089	28000	7	1809	59	14	2096	1	7.1565	6.6335	7.5	16	0.6215	3	1.892133	0	0	6.45
142	49	1	17	28	784	45500	12	3087	47	13	2059	1	7.0423	8.4224	11	19.50005	0.52	12	2.130895	0	0	9.98
143	41	1	14	23	529	16000	12	910	40	17	1820	1	6.5934	4.3956	14	12	0.7215	16	1.480604	0	2	0
144	51	0	12	27	729	18232	14	1840	53	8	2832	1	4.3457	2.4457	11	13.73191	0.6915	7	0.8943313	0	1	2.5
145	53	1	9	11	121	28160	7	784	60	10	1990	1	7.2362	1.2245	14	27.19999	0.7215	3	0.2025325	0	0	2.25
146	36	1	12	6	36	5965	7	400	40	7	2000	1	1.74	1.625	11	5.315	0.8015	12	0.4855078	1	2	0
147	46	1	12	11	121	19000	7	1000	46	12	1885	1	6.8966	3	9.5	16	0.7215	7	1.098612	0	2	5.5
148	36	1	12	14	196	36872	12	1904	37	12	2860	1	5.0455	4.7269	11	27.87198	0.5515	12	1.55327	0	2	4.2
149	53	1	14	17	289	42000	12	1771	48	16	1913	1	17.25	1.1293	14	40.00001	0.4915	12	0.121598	0	1	9.98
150	40	1	16	17	289	26900	14	1486	54	16	1800	1	8.3333	7.4024	11	15.90003	0.6215	16	2.001804	0	3	6.25
151	42	0	17	14	196	30800	10	740	45	16	2880	1	9.375	4.4595	9	27.49997	0.5815	12	1.495037	0	2	1.65
152	33	1	15	11	121	21520	12	1820	32	16	1993	1	8.279	2.4725	11	17.02005	0.6915	12	0.9052298	1	1	0
153	43	1	12	7	49	24795	7	1275	47	14	2250	1	4.5	1.8824	7.5	22.39494	0.6915	7	0.6325476	0	3	3
154	31	1	16	8	64	12900	16	450	30	16	2286	1	4.1995	4	14	11.1	0.7215	14	1.386294	1	0	4
155	47	1	17	6	36	42700	7	1221	47	16	1880	1	16.064	8.19	7.5	32.70001	0.4915	7	2.102914	0	0	5.99
156	54	1	17	8	64	38800	17	1550	58	17	2350	1	11.277	7.0968	11	27.79996	0.5215	10	1.959644	0	0	6
157	33	0	12	4	16	2500	3	180	33	11	3640	1	0.5494	1.6667	3	2.199994	0.9415	7	0.5108456	1	3	0
158	43	1	16	25	625	26921	10	2090	47	14	1770	1	9.548	3.445	11	19.72095	0.6215	14	1.236924	0	0	3.85
159	46	0	13	24	576	18300	9	1960	49	13	1875	1	5.3333	4.2347	3	9.999988	0.6915	7	1.443313	0	1	4.2
160	35	1	12	11	121	17200	7	1440	38	9	2200	1	5.4545	2.7778	14	13.19997	0.7215	7	1.021659	0	3	4.1
161	37	1	11	19	361	14209	3	794	39	12	2033	1	5.9026	1.8892	9.5	12.70897	0.7515	12	0.6361535	0	3	3.85
162	37	1	16	9	81	32300	16	993	39	17	2739	1	9.8576	5.0352	14	27.30005	0.5815	12	1.616453	0	2	8.3
163	34	1	14	19	361	21400	12	160	38	14	1626	1	11.685	1.25	7.5	21.2	0.7215	17	0.2231435	0	3	0
164	43	0	16	14	196	14700	7	105	44	17	2248	1	6.2278	2.8571	9.5	14.4	0.7215	7	1.049807	1	0	0
165	46	1	12	22	484	25516	7	1200	48	12	2140	1	9.1748	4.1167	9.5	20.57596	0.6215	7	1.415052	0	0	4.33
166	35	1	9	6	36	13300	7	450	42	12	1985	1	6.2972	1.7778	5	12.49999	0.7515	3	0.5753766	0	3	2.6
167	46	1	17	23	529	31000	12	996	59	17	1528	1	10.471	13.554	9.5	17.50022	0.5815	12	2.606682	0	0	9.98
168	46	1	14	15	225	48800	3	1052	48	16	1920	1	14.583	4.5627	11	44.00004	0.4915	7	1.517915	0	0	4.9
169	43	1	12	6	36	15519	7	1128	46	10	1918	1	6.2143	2.1277	14	13.11895	0.7215	7	0.7550416	0	2	2.4
170	30	0	12	11	121	19500	7	1840	30	12	2112	1	6.6288	2.9891	7.5	14.00006	0.6915	7	1.094972	0	0	3.75
171	41	0	11	2	4	14545	7	1910	46	9	2144	1	3.8246	2.5654	5	9.645086	0.7215	3	0.9421144	0	2	2.57
172	54	1	12	22	484	22897	7	980	54	15	1920	1	7.8125	5.6122	14	17.39705	0.6915	7	1.724943	0	1	5
173	31	1	12	10	100	14300	10	2317	41	9	2241	1	3.4806	2.8054	7.5	7.799889	0.7215	10	1.031546	0	1	3.87
174	44	1	10	14	196	14884	10	1089	47	11	880	1	5.55	1.607	9.5	13.13398	0.7515	10	0.4743691	0	0	0
175	32	1	12	12	144	27400	7	800	31	16	2070	1	11.594	2.25	11	25.6	0.6215	12	0.8109302	0	1	0
176	47	1	5	9	81	16400	12	1230	53	5	1050	1	9.5238	2.0325	14	13.90003	0.7215	7	0.7092666	0	0	2.82
177	46	0	17	13	169	25704	17	1158	57	17	2635	1	7.2805	5.532	7.5	19.29794	0.6215	14	1.710549	0	1	8.1
178	37	0	11	18	324	12800	10	2272	47	8	3000	1	3	1.5845	7.5	9.200016	0.7215	10	0.4602689	0	0	3.71
179	51	0	12	8	64	40000	7	528	50	11	2500	1	10.4	3.7879	7.5	37.99999	0.6215	7	1.331812	0	2	0
180	49	1	12	11	121	47000	7	1000	49	12	1990	1	10.05	3	14	44	0.6615	7	1.098612	0	1	0
181	36	1	14	9	81	25872	12	520	37	13	2390	1	8.7866	8.6538	9.5	21.37202	0.6615	10	2.157999	0	4	0
182	39	1	11	9	81	26868	7	760	44	12	1430	1	10.14	4.2105	9.5	23.66802	0.6915	12	1.437581	0	1	3.95
183	48	1	12	14	196	18000	12	1920	50	8	1800	1	5	4.6875	9.5	9	0.6915	12	1.544899	0	2	4.3
184	38	1	14	9	81	30200	7	1220	43	17	2103	1	11.888	4.0984	5	25.19995	0.5815	7	1.410597	0	2	4.84
185	40	1	12	2	4	26220	7	200	42	12	1350	1	13.333	25	7.5	21.22	0.6615	7	3.218876	0	2	3
186	39	0	10	12	144	40500	7	2480	36	17	2880	1	8.6806	2.6331	3	33.96991	0.5815	7	0.9681619	1	5	4.2
187	37	1	16	15	225	33570	7	2750	43	17	2400	1	7.2917	6	7.5	17.07	0.61	12	1.791759	0	0	9
188	49	1	13	11	121	16917	14	2014	47	12	1135	1	3.5242	5.4126	14	6.016024	0.7215	7	1.68873	0	1	4.05
189	33	0	12	7	49	18000	7	1355	35	17	2750	1	6.1818	0.6642	9.5	17.10001	0.7215	12	-0.409172	0	3	1
190	30	1	12	9	81	8337	12	80	32	16	2085	1	2.9755	1.25	11	8.237	0.7515	12	0.2231435	0	0	0
191	54	0	12	19	361	17100	7	1670	56	8	2600	1	4.5769	2.2754	9.5	13.30008	0.7215	12	0.8221558	0	0	2.1
192	39	0	11	11	121	17800	7	520	40	12	3542	1	3.1056	3.4615	11	16.00002	0.7515	10	1.241702	0	4	3.05
193	43	1	12	8	64	13740	12	288	43	12	1975	1	5.8228	4.1667	14	12.53999	0.7515	12	1.427124	0	3	3
194	31	1	9	13	169	27000	3	2014	32	12	2400	1	7.5	4.4687	9.5	18.00004	0.6215	10	1.497097	0	3	4.26
195	33	1	13	4	16	32600	7	800	37	14	3000	1	8.3333	1.75	7.5	31.2	0.6215	12	0.5596158	0	3	0
196	40	1	12	7	49	28030	12	1984	39	14	1960	1	9.2347	3.6694	14	20.74991	0.6615	12	1.300028	0	3	4.25
197	36	0	12	19	361	23100	12	1823	39	9	2000	1	5.5	6.5826	3	11.09992	0.6615	12	1.88443	0	1	6
198	51	1	12	14	196	24580	7	1500	51	12	3000	1	6	2.6	9.5	20.68	0.6615	7	0.9555114	0	0	2
199	44	1	13	14	196	29000	7	2261	43	12	2400	1	6.6667	4.8651	9.5	18.00001	0.6215	12	1.582087	0	1	5.5
200	42	1	16	3	9	42430	14	1728	48	14	2450	1	13.061	5.787	9.5	32.43007	0.5215	12	1.755614	0	3	6.25
201	40	1	12	9	81	41800	12	1960	40	8	2423	1	12.794	4.5408	7.5	32.90003	0.5215	12	1.513103	0	1	5
202	34	1	16	7	49	39100	17	1578	33	16	2000	1	12	9.5057	9.5	24.10001	0.58	12	2.251892	1	1	7.72
203	30	1	17	7	49	31800	17	1316	41	16	2526	1	6.73	10.638	11	17.80039	0.5815	16	2.364432	0	0	7
204	54	0	12	14	196	22200	7	1530	53	12	2695	1	6.679	1.1111	14	20.50002	0.6915	7	0.1053505	0	0	1.13
205	51	0	12	29	841	19500	7	2220	54	12	2048	1	4.3945	4.0541	3	10.4999	0.6915	16	1.399729	0	0	4.37
206	44	0	9	19	361	14027	10	1336	46	11	1920	1	4.6875	2.6871	11	10.43703	0.7515	7	0.9884625	0	2	2.64
207	43	1	12	14	196	21195	7	1008	42	9	2338	1	7.6989	2.9762	11	18.19499	0.6615	7	1.090647	0	1	2.5
208	34	0	12	16	256	19013	7	1944	37	8	2945	1	4.3287	3.1728	7.5	12.84508	0.6915	10	1.154614	0	1	3.23
209	45	1	13	10	100	20900	7	2000	52	12	2047	1	6.7416	3.55	11	13.8	0.6615	12	1.266948	0	0	3.45
210	39	0	12	12	144	26820	3	258	47	7	1668	1	9.3525	17.907	11	22.2	0.6215	10	2.885192	0	0	0
