GOOD	INF	LAND	LINFDEC	LINFDEC01	LLAND	LOPEN	LPCINC	OIL	OPEN	OPENDEC	PCINC
1	6.7	13895	1.902107	-2.703063	9.539285	3.824284	7.979681	0	45.8	0.458	2921
1	15.9	364900	2.766319	-1.838851	12.80738	3.157	5.866468	0	23.5	0.235	353
1	6	198455	1.791759	-2.813411	12.19832	3.254243	7.434848	0	25.9	0.259	1694
0	8.9	21925	2.186051	-2.419119	9.995383	3.89182	6.437752	0	49	0.49	625
1	14.2	1980	2.653242	-1.951928	7.590852	3.613617	8.876405	0	37.1	0.371	7161
1	8.2	63379	2.104134	-2.501036	11.05689	3.69883	7.520235	0	40.4	0.404	1845
1	32.2	300947	3.471967	-1.133204	12.61469	2.549445	7.748891	0	12.8	0.128	2319
0	39.8	91343	3.683867	-0.9213033	11.42238	2.219203	5.549076	0	9.2	0.092	257
0	10.2	32000	2.322388	-2.282783	10.37349	3.50255	10.15214	1	33.2	0.332	25646
1	10.6	94247	2.360854	-2.244316	11.45367	3.303217	8.984067	0	27.2	0.272	7975
1	6.2	3540939	1.824549	-2.780621	15.0799	2.230014	9.34172	0	9.3	0.093	11404
0	44	68040	3.78419	-0.8209805	11.12785	2.960105	8.412277	0	19.3	0.193	4502
0	14	352143	2.639057	-1.966113	12.77179	3.190476	8.394799	0	24.3	0.243	4424
